close,MACD,MACDandSIG,RSI,Bollinger,Fibonacci,Percent
952.7,-1.6698261561552954,-0.09450041734565229,-25.246781341927928,0.0,-1,0.0022042615723731895
954.8,-1.4981247207166462,0.025733672697665577,-19.124249928761376,0.0,-1,0.00019899455383343145
954.99,-1.271596942937549,0.08408715015892088,-18.563424890828234,0.0,-1,-0.005790636551168071
949.46,-1.5131999754697745,-0.05250529412443483,-25.097318964603303,0.0,-1,-0.0015377161755103508
948.0,-1.6295681604467518,-0.056291159700470716,-26.528401702374794,0.0,-1,-0.0009493670886076
947.1,-1.62695490623139,-0.01789263516170303,-27.41727946506537,0.0,-1,-0.00031675641431749835
946.8,-1.5150687036043564,0.03133118915511024,-27.729644747286983,0.0,-1,-2.112378538232651e-05
946.78,-1.3345365436571228,0.07062111636744794,-27.75243951263807,0.0,-1,0.0012885781279705633
948.0,-1.0313924183788004,0.12458841388192354,-22.708384637784945,0.0,-1,3.1645569620319947e-05
948.03,-0.791370987541427,0.1215366149064323,-22.57973751238077,0.0,-1,-0.0005168612807611161
947.54,-0.6462460231608702,0.08888719309566306,-23.432824449277547,0.0,-1,-0.006279418283133054
941.59,-1.0156630390405326,-0.0935099409279998,-31.28754615234324,0.0,-1,0.00018054567274505828
941.76,-1.1015662937270463,-0.0598043985381711,-30.531685648408168,0.0,-1,-0.000488447162759087
941.3,-1.0910540632596621,-0.016430722690262245,-31.061151090611087,0.0,-1,-0.004164453415489211
937.38,-1.3215434427543187,-0.08230670072830626,-34.93941129221355,0.0,-1,-0.003179073588086001
934.4,-1.5749928456054931,-0.11191870119316016,-37.16029621782221,0.0,-1,-0.0006421232876712146
933.8,-1.620468143230596,-0.05246466627275437,-37.570345121344204,0.0,-1,0.004090811736988664
937.62,-1.189833446773946,0.12605667672796517,-21.432483017630837,0.0,-1,0.0021650562061388268
939.65,-0.7061966446477754,0.20323115961804528,-14.422504181609796,0.0,-1,-0.00015963390624162965
939.5,-0.41802852319744943,0.16379976035612376,-14.706861202713405,0.0,-1,2.1287919105938968e-05
939.52,-0.23744208553910084,0.11479539933815747,-14.630333055177111,0.0,-1,0.005619891008174394
944.8,0.3126379737517482,0.22162515287633555,2.016288940814057,0.0,-1,-0.003291701947502057
941.69,0.3024581722511357,0.0704817837919077,-5.487131218228804,0.0,-1,-0.0037591988871072957
938.15,-0.022836576186705315,-0.0849376548819778,-12.355074590844218,0.0,-1,0.0018333955124447687
939.87,-0.040247569056873544,-0.03411621591738201,-7.560517583000504,0.0,-1,-0.0016385244767892493
938.33,-0.17393243473713937,-0.05593369386588262,-10.576195660938822,0.0,-1,-0.004284207048693034
934.31,-0.5612804980158899,-0.1477605857148777,-17.312985235695628,0.0,-1,-0.0014021042266484374
933.0,-0.8173478214872603,-0.13460930306208274,-19.217569088657683,0.0,-1,-0.002668810289389034
930.51,-1.084769164765703,-0.13401021544684177,-22.59052799830749,0.0,-1,-0.0012896153722152803
929.31,-1.2280824060077293,-0.09244115222962268,-24.109626192549037,0.0,-1,0.003056030818564315
932.15,-0.9607321594614859,0.0583030314388735,-14.682741762502971,0.0,-1,0.005428310894169508
937.21,-0.32532935623316916,0.23123527822239676,-1.671127838050296,0.0,-1,0.0018138944313439431
938.91,0.16114949173368132,0.23923804206308244,1.9379862175207236,0.0,-1,0.0010331128649179178
939.88,0.4717931247392926,0.18329389168956461,3.9760458973585244,0.0,-1,-0.002096012256883939
937.91,0.4236321808472212,0.04504431593249775,-0.7378528828628461,0.0,-1,0.0054269599428515836
943.0,0.7884156938305296,0.13660927630526876,9.433070268836133,0.0,-1,0.008059384941675463
950.6,1.5384394758362987,0.2955443527703461,19.557348374671548,-2.4378550161641215,-1,-0.0006837786661055834
949.95,1.7310814105195504,0.1627287624845326,17.945914351792027,0.0,-1,-0.003621243223327575
946.51,1.3964789269845141,-0.05729124035016797,9.799448087962624,0.0,-1,-0.0010459477448733212
945.52,1.0303044413016096,-0.14115524201102425,7.591452552620041,0.0,-1,0.00027498096285638596
945.78,0.7830251616850319,-0.12947817387586735,8.043512244468609,0.0,-1,0.0007084099896381701
946.45,0.6499667584030249,-0.08751219238595809,9.286147112059815,0.0,-1,-0.0073432299646045696
939.5,-0.04989300643819661,-0.26245731907572656,-5.8014460065041575,0.0,-1,-0.00498137307078228
934.82,-0.7856651383223152,-0.33274315031994844,-12.871089048664466,0.0,-1,-0.0008664769688282448
934.01,-1.1555791094041297,-0.23421904046725428,-13.979091555144649,0.0,-1,0.0023554351666470463
936.21,-1.0609045024947363,-0.046514811185953686,-8.693275660583247,0.0,-1,0.003407355187404537
939.4,-0.6593251571654264,0.11835484471445212,-1.7985490412364271,0.0,-1,-0.0018416010219288736
937.67,-0.5477583880702923,0.0766405379365287,-4.984942641841428,0.0,-1,-0.0005119071741656045
937.19,-0.48632847118358313,0.04602348494107933,-5.8840013445024155,0.0,-1,-0.012782893543465068
925.21,-1.4134194734749599,-0.2936891724500992,-21.60884586656754,2.0955167085578523,-1,0.0019130791928319013
926.98,-1.6116800184977365,-0.16398323915762525,-17.650315244567764,0.0,-1,0.012643206973181664
938.7,-0.5998369561342543,0.282619941068619,1.9086584575954575,0.0,-1,-0.0028869713433472555
935.99,-0.26976234527467113,0.2042315173094007,-1.6805400575871516,0.0,-1,-0.001292748854154424
934.78,-0.18307817773870738,0.09697189494845482,-3.283067813105383,0.0,-1,-0.0005669783264511397
934.25,-0.168646245825812,0.0371346089537834,-4.025149651151871,0.0,-1,-0.0010382659887611112
933.28,-0.22820975938384436,-0.007476301534749652,-5.463763884880798,0.0,-1,-0.006407509000514344
