close,MACD,MACDandSIG,RSI,Bollinger,Fibonacci,Percent
1.2,-0.005101024324404291,-0.002855518624769816,-10.296629633806532,0.0,1,-0.08333333333333326
1.1,-0.01618105518838786,-0.0046451831629177945,-19.59057893579969,0.0,1,0.09090909090909083
1.2,-0.012039316021347446,-0.00016781466529246052,-5.226496007616973,0.0,1,-0.08333333333333326
1.1,-0.017298503436047996,-0.0018090006933310036,-13.579314755283825,0.0,1,0.027272727272727115
1.13,-0.015986555190394602,-0.00016568414922587052,-9.857059940359449,0.0,1,0.039823008849557695
1.175,-0.010248368135034935,0.0018575009687112655,-4.5357305526407,0.0,1,0.012765957446808418
1.19,-0.00527524392943568,0.0022768750581035075,-2.7973179635666554,0.0,1,-0.05882352941176461
1.12,-0.008182411499182862,-0.0002100975038812243,-9.492619671645272,0.0,1,0.06249999999999978
1.19,-0.003120794325791154,0.0016171732231701616,-1.3929949996814486,0.0,1,0.008403361344537785
1.2,0.0005034137880537415,0.0017471271123383526,-0.3058689378394064,0.0,1,0.02083333333333348
1.225,0.004356900029305111,0.0018668711178632409,2.4860002762825815,0.0,1,-0.01632653061224487
1.205,0.004253901480822053,0.0005879575231267278,0.018514370465162244,0.0,1,-0.004149377593361092
1.2,0.0034312437498451587,-7.823340261672211e-05,-0.6262555465655382,0.0,1,0.0
1.2,0.0027339779052031332,-0.00025849974908624933,-0.6262555465655382,0.0,1,0.0
1.2,0.0021575134907818594,-0.0002783213878358409,-0.6262555465655382,0.0,1,0.0
1.2,0.0016894884926725862,-0.0002487821286483714,-0.6262555465655382,0.0,1,0.02083333333333348
1.225,0.0033980186192286155,0.00048658266596921917,3.9022383116727255,0.0,1,0.1428571428571428
1.4,0.01855244879757101,0.0052136709481038716,22.81520272373207,-0.07359275311481972,1,-0.02142857142857124
1.37,0.02208362648694462,0.002914949545825829,17.537268703682926,-0.017690224618589934,1,-0.014598540145985384
1.35,0.020342246457719426,0.00039118983886687886,14.095846075487202,0.0,1,-0.0814814814814816
1.24,0.008609702571630073,-0.003780451349074159,-1.124002476940781,0.0,1,-0.004032258064516014
1.235,0.0016092887476162332,-0.003593621724362667,-1.7032091152825473,0.0,1,-0.01619433198380571
1.215,-0.003691692226692078,-0.00296486756622366,-4.119681321116239,0.0,1,0.23456790123456783
1.5,0.01771545830504495,0.006147427655171124,19.80268737764142,-0.07332035458804675,1,-0.08333333333333337
1.375,0.016526078712159498,0.0016526826874285576,7.431257025758811,0.0,1,0.0072727272727273196
1.385,0.01538754902303685,0.00017138433276863742,8.091490387099775,0.0,1,-0.032490974729241784
1.34,0.009785988426555647,-0.0018100587545708553,3.910760563698915,0.0,1,-0.04850746268656725
1.275,0.0007530424261021906,-0.003614334918341438,-1.6713977804636215,0.0,1,0.050980392156862786
1.34,0.0015904825570336456,-0.0009256315958033278,3.6599903769881195,0.0,1,-0.08582089552238803
1.225,-0.007706670923920189,-0.0034075950255857213,-5.388547884845288,0.0,1,0.020408163265306145
1.25,-0.009629691754070357,-0.0017768719519119635,-3.220799410583737,0.0,1,0.05600000000000005
1.32,-0.003955394522972888,0.0012991417597285016,2.5559815165931425,0.0,1,-0.07954545454545447
1.215,-0.009538629697176448,-0.0014280311381583526,-5.49520768777046,0.0,1,0.13991769547325106
1.385,0.002631305190486488,0.0035806345831681952,6.494295772826277,0.0,1,-0.07220216606498198
1.285,0.0001636638684441305,0.00037099775370861253,-0.49598625629761983,0.0,1,0.011673151750972943
1.3,0.000166204551719229,0.00012451281232790366,0.5243201625924172,0.0,1,-0.023076923076923106
1.27,-0.002346375485952956,-0.0007960224084480939,-1.6468124700614197,0.0,1,-0.011811023622047334
1.255,-0.004657134214293146,-0.0010355937122627614,-2.7742493601439477,0.0,1,-0.019920318725099584
1.23,-0.00750775239393886,-0.0012954039639694916,-4.729009044252614,0.0,1,0.004065040650406582
1.235,-0.007890748784266766,-0.000559466784765799,-4.23018989750917,0.0,1,-0.028340080971660075
1.2,-0.010341351247408426,-0.0010033564159691536,-7.260001104713794,0.0,1,0.02083333333333348
1.225,-0.00862153987502845,0.0002388183188036068,-4.401885043692182,0.0,1,0.0
1.225,-0.007043172532586128,0.0006057285537486431,-4.401885043692182,0.0,1,0.02857142857142847
1.26,-0.002750391150316167,0.0016328366453395348,-0.08125822913939373,0.0,1,-0.003968253968254065
1.255,-0.0007914678633214045,0.0011972533107780991,-0.7027211277914702,0.0,1,0.07569721115537864
1.35,0.008170616102119554,0.0033864457587396857,9.849687446355425,0.0,1,-0.05555555555555569
1.275,0.005720773409663149,0.0003122010220944268,0.6100983034952776,0.0,1,0.0745098039215688
1.37,0.011935787612629811,0.0021757384083536963,9.425861450112038,0.0,1,0.13138686131386845
1.55,0.029048645746394097,0.006429532180705997,20.50816307106321,-0.10343503322962677,1,-0.032258064516129115
1.5,0.031017687667743266,0.0027995247006850563,15.026340651716168,-0.015914846382427905,1,0.24
1.86,0.05941740132277262,0.010399746118571473,28.437658767061436,-0.22049997357852558,1,-0.018817204301075363
1.825,0.0657491413733895,0.0055771620563961136,25.317688842154013,-0.08923390364688011,1,-0.041095890410958846
1.75,0.05718591628424896,-0.0009953543442481408,18.801763973771898,0.0,1,-0.014285714285714235
1.725,0.046055477382657806,-0.004041931081946434,16.665683285924146,0.0,1,-0.18260869565217397
1.41,0.010402301483307452,-0.01323170232709893,-3.531952641459526,0.0,1,0.06382978723404253
1.5,-0.0007911449233100054,-0.00814171624457213,1.1650262617852292,0.0,1,0.046666666666666634
